IHSS,Accomodation & Leasing,Accomodation and Leasing,Dept ,Hospital Departmentt,medical@test.com.au,0264321234,0264321122
Medicine,ACT Diabetes Service,ACT Diabetes Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,ACT Trauma Service,ACT Trauma Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Allied Health,Acute Allied Health Services,Acute Allied Health Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Acute & Community Paediatrics,Acute and Community Paediatrics,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
MHJHADS,ADS,Alcohol and Drug Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
MHJHADS,Adult Acute Mental Health Services,Adult Acute Mental Health Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
MHJHADS,Adult Community Health Mental Health Services,Adult Community Health Mental Health Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,Allied Health,Allied Health,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Allied Health,Allied Health Assistant Coordinator,Allied Health Assistant Coordinator,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Allied Health,Allied Health Education,Allied Health Education,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Ambulatory Care Support,Ambulatory Care Support,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Anatomical Pathology,Anatomical Pathology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Project Delivery Tier 2 and 3,Art Curator,Art Curator,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Asthma Nurse Education Service,Asthma Nurse Education Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,ASU,Acute Surgical Unit,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Breast Screen ACT,Breast Screen ACT,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,Business Continuity Officer,Business Continuity Officer,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Calvary Hospital Laboratory,Calvary Hospital Laboratory,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
MHJHADS,CAMHS,Child and Adolescent Mental Health Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Canberra Clinical Genomics Services,Canberra Clinical Genomics Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Patient Flow,Canberra Hospital After Hours Hospital Management ,Canberra Hospital After Hours Hospital Management ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Canberra Sexual Health Clinic,Canberra Sexual Health Clinic,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Cancer Support Services,Cancer Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Cardiac Surgery/Perfusion Service,Cardiac Surgery/Perfusion Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Cardiology,Cardiology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,CARHU,Child at risk Health Unit,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,CAS,Cancer and Ambulatory Support ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Ambulatory Care Support,Central Health Intake,Central Health Intake,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Ambulatory Care Support,Central Outpatients,Central Outpatients,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CHS,CEO,Chief Executive Officer,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Chemical Pathology,Chemical Pathology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Child Protection Education & Liaison,Child Protection Education and Liaison,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Chronic Disease,Chronic Disease,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
,CHS,Canberra Health Services,Prov ,Healthcare Provider,medical@test.com.au,0264321234,0264321122
RACS,Client Support Services,Client Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Clinical,Clinical,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Clinical Chair of Surgery,Clinical Chair of Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Clinical Forensic Medicine,Clinical Forensic Medicine,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Clinical Microbiology,Clinical Microbiology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Office of Research and Education,Clinical Trials Unit,Clinical Trials Unit,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
"Strategy, Policy and Planning",Communications,Communications,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Community Based Allied Health,Community based Allied Health,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
RACS,Community Care ,Community Care ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
RACS,Community Health Centres,Community Health Centres,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
,CHF,Canbera Hospital Foundation,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,COO,Chief Operating Officer,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,Cross Border Relations,Cross Border Relations,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,CRRS,Capital Regional Retrieval Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Customer Services/Collection Centres/Specimen Reception,Customer Services/Collection Centres/Specimen Reception,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
FBI,Data & Reporting Services,Data and Reporting Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
RACS,Dental Health Program,Dental Health Program,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,"Department of Anaesthesia, Peri-opeartive Medicine & Pain Management","Department of Anaesthesia, Peri-opeartive Medicine and Pain Management",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Dermatology,Dermatology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Diagnostic Genomics,Diagnostic Genomics,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Logistical Support Services,"Domestic, Environmental & Linen Services","Domestic, Environmental and Linen Services",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,DonateLife ACT,DonateLife ACT,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
,DSD,Digital Solutions Division,Dept ,n/a,medical@test.com.au,0264321234,0264321122
Medicine,ED,Emergency Department,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,Emergency Management,Emergency Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Endocrinology,Endocrinology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,ENT Surgery,"Ear, Nose and Throat Surgery",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,ERDP,Early Recognition of the Deteriorating Patient,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Nursing Clinical Support,E-Rostering ,E-Rostering ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
IHSS,Facilities Management & Maintenance,Facilities Management and Maintenance,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,FBI,Finance and Business Intelligence,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
FBI,Finance & Accounting Services,Finance and Accounting Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Fire Safety & Emergency Response,Fire Safety and Emergency Response,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Logistical Support Services,Food,Food,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Gastroenterology & Hepatology,Gastroenterology and Hepatology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,General Medicine,General Medicine,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,General Surgery,General Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Genetics ,Genetics ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
RACS,Geriatric Medicine,Geriatric Medicine,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
